Word,Level,Weight,Length,Start,End
Discriminative Training And Maximum Entropy Models For Statistical Machine Translation,1,22.362692640501887,4,2005,2008
Efficient Graph-Based Semi-Supervised Learning of Structured Tagging Models,1,4.264031802269959,3,2011,
Practical Experiments With Regular Approximation Of Context-Free Languages,1,5.617921802494623,5,2001,2005
Operating Statistics For The Transformational Question Answering System,1,5.540403469102257,15,1981,1995
(Meta-) Evaluation of Machine Translation,1,6.839495993887395,2,2008,2009
The Parallel Grammar Project,1,4.120654597292285,4,2007,2010
MUC-5 Evaluation Metrics,1,6.131813887973298,8,1993,2000
A Generative Constituent-Context Model For Improved Grammar Induction,1,6.94495965931041,6,2004,2009
A Perspective On Word Sense Disambiguation Methods And Their Evaluation,1,6.882632149829245,8,1997,2004
A Simple Rule-Based Part Of Speech Tagger,1,48.875157560431184,11,1993,2003
Resolving Ellipsis In Clarification,1,5.498102807754805,5,2001,2005
Japanese Named Entity Extraction Evaluation - Analysis Of Results -,1,4.340395445381384,3,2001,2003
Tuning Support Vector Machines For Biomedical Named Entity Recognition,1,6.798919581403576,3,2003,2005
Multi-Level Structured Models for Document-Level Sentiment Classification,1,4.264031802269963,3,2011,
Discovery Procedures For Sublanguage Selectional Patterns: Initial Experiments,1,15.601240122039854,8,1987,1994
Shallow Semantic Parsing Using Support Vector Machines,1,10.341000906992306,4,2005,2008
Discriminative Word Alignment With Conditional Random Fields,1,5.559409105005406,4,2007,2010
Some Pragmatic Issues In The Planning Of Definite And Indefinite Noun Phrases,1,4.0086893521260025,13,1986,1998
If The Parser Fails,1,4.114504018769315,6,1980,1985
A Maximum Entropy Approach to Chinese Word Segmentation,1,5.272904130131053,5,2006,2010
Redundancy In Collaborative Dialogue,1,7.058051891188079,9,1993,2001
Improving Statistical Natural Language Translation with Categories and Rules,1,4.290024910845865,6,1999,2004
A Regression Model of Adjective-Noun Compositionality in Distributional Semantics,1,8.173964170924107,3,2011,
Fast Consensus Decoding over Translation Forests,1,4.546950151529666,2,2010,2011
Automatic Processing Of Large Corpora For The Resolution Of Anaphora References,1,6.003696180665945,12,1990,2001
Thumbs Up? Sentiment Classification Using Machine Learning Techniques,1,9.843697157220806,2,2010,2011
Conditional Structure Versus Conditional Estimation In NLP Models,1,7.166539802658214,6,2003,2008
Focusing In Dialog,1,5.084579308583615,16,1978,1993
Semantic Coherence Scoring Using An Ontology,1,4.323594549853175,2,2003,2004
Mixed-Initiative Development Of Language Processing Systems,1,7.804255770076411,8,1999,2006
Measuring Distributional Similarity in Context,1,6.383377016879763,2,2012,
Approximating Context-Free Grammars With A Finite-State Calculus,1,4.022696494387332,6,1998,2003
A Probability Model To Improve Word Alignment,1,12.6431895247189,5,2003,2007
Efficient Third-Order Dependency Parsers,1,15.321607920721426,3,2011,
A Simple Reconstruction Of GPSG,1,9.136228275824587,6,1987,1992
Two Statistical Parsing Models Applied To The Chinese Treebank,1,6.64736711711881,5,2001,2005
A Decoder For Syntax-Based Statistical MT,1,6.860082449370239,3,2003,2005
Noun Classification From Predicate-Argument Structures,1,21.133237797959342,9,1991,1999
One Sense Per Discourse,1,11.765276472566784,11,1994,2004
Problem Solving Applied To Language Generation,1,4.12084445036185,6,1980,1985
Methods For The Qualitative Evaluation Of Lexical Association Measures,1,5.681212088311542,5,2002,2006
Improved Alignment Models For Statistical Machine Translation,1,22.747586307130877,6,2000,2005
Using Syntax to Improve Word Alignment Precision for Syntax-Based Machine Translation,1,5.4302397580365085,5,2009,
Improving Name Tagging By Reference Resolution And Relation Detection,1,4.3177040909056,4,2005,2008
Machine Learning For Coreference Resolution: From Local Classification To Global Ranking,1,5.355328879903647,3,2006,2008
Optimizing Chinese Word Segmentation for Machine Translation Performance,1,6.06293212297714,5,2009,
A Mention-Synchronous Coreference Resolution Algorithm Based On The Bell Tree,1,6.200462963894617,5,2005,2009
Evaluation Of A Practical Interlingua For Task-Oriented Dialogue,1,3.8554367202582305,2,2001,2002
SemEval-2013 Task 7: The Joint Student Response Analysis and 8th Recognizing Textual Entailment Challenge,1,4.928162209799619,1,2013,
Application-driven Statistical Paraphrase Generation,1,7.1752714288792205,4,2010,
SemEval-2010 Task 17: All-words Word Sense Disambiguation on a Specific Domain,1,5.701930233687445,1,2010,2010
Improved Statistical Machine Translation Using Monolingually-Derived Paraphrases,1,4.139072798522578,4,2010,
Why Doesn't EM Find Good HMM POS-Taggers?,1,8.114086606323236,4,2008,2011
Poor Estimates Of Context Are Worse Than None,1,9.051975448336838,7,1991,1997
Multiple Aspect Summarization Using Integer Linear Programming,1,4.928162209799619,1,2013,
Parsing Idioms In Lexicalized TAGs,1,7.840913005514254,10,1989,1998
From Discourse Structures To Text Summaries,1,13.645318393683624,7,1998,2004
Reasoning On A Highlighted User Model To Respond To Misconceptions,1,4.048491825680476,11,1988,1998
Frustratingly Easy Domain Adaptation,1,8.464396064266086,6,2008,
Detecting Speculations and their Scopes in Scientific Text,1,5.143866734245528,4,2010,
Deducing Linguistic Structure From The Statistics Of Large Corpora,1,11.616610368728178,10,1991,2000
Part-Of-Speech Induction From Scratch,1,5.791360671507969,8,1993,2000
Unification-Based Semantic Interpretation In The BBN Spoken Language System,1,4.59754406540929,4,1990,1993
But Dictionaries Are Data Too,1,4.067425379984813,11,1994,2004
Prosodic Inheritance And Morphological Generalisations,1,5.58836994609437,6,1992,1997
Automatic Identification Of Non-Compositional Phrases,1,6.330850145086723,5,2003,2007
Flexible Parsing,1,15.316075460060427,15,1981,1995
Machine Translation Based On Logically Isomorphic Montague Grammars,1,5.937152210022131,9,1983,1991
Joint Models for Chinese POS Tagging and Dependency Parsing,1,5.307215445427925,2,2012,
Aligning A Parallel English-Chinese Corpus Statistically With Lexical Criteria,1,11.012627722636172,12,1994,2005
Linguistic Regularities in Continuous Space Word Representations,1,4.380526686543082,1,2013,
Linguistic Analysis Of Natural Language Communication With Computers,1,12.768920566096572,9,1981,1989
A Uniform Architecture For Parsing And Generation,1,26.133289515207167,8,1989,1996
Relating Probabilistic Grammars And Automata,1,3.8917711938960715,5,2000,2004
Automatic Extraction Of Subcategorization Frames For Czech,1,5.719457021856173,7,2000,2006
Incorporating Non-Local Information Into Information Extraction Systems By Gibbs Sampling,1,12.559677535224647,3,2011,
GAMBL Genetic Algorithm Optimization Of Memory-Based WSD,1,6.1296532749908,4,2005,2008
Machine Translation System Combination using ITG-based Alignments,1,3.845707408879532,2,2009,2010
Learning Semantic Classes For Word Sense Disambiguation,1,4.75313569480158,2,2006,2007
A Computational Model Of Language Performance: Data Oriented Parsing,1,7.8358451791385715,9,1993,2001
Joint Parsing and Named Entity Recognition,1,8.402042774212205,2,2010,2011
Abstract Generation Based On Rhetorical Structure Extraction,1,7.6283572133271225,7,1996,2002
Concise Integer Linear Programming Formulations for Dependency Parsing,1,10.716726649521856,4,2010,
The Senseval-3 English Lexical Sample Task,1,10.129443422222977,3,2005,2007
Pattern Abstraction And Term Similarity For Word Sense Disambiguation: IRST At Senseval-3,1,5.0413495020036265,3,2005,2007
Global Learning of Typed Entailment Rules,1,7.7105775331972835,2,2012,
Distributional Measures Of Concept-Distance: A Task-Oriented Evaluation,1,4.198628203203356,4,2007,2010
What's In A Translation Rule?,1,4.933349333229932,3,2011,
Sentence Fusion via Dependency Graph Compression,1,4.2913733281731705,3,2009,2011
Assigning Time-Stamps To Event-Clauses,1,4.313683889878725,3,2006,2008
The CMU Air Travel Information Service: Understanding Spontaneous Speech,1,6.967661104540273,5,1990,1994
An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora,1,15.362567748503748,12,1993,2004
Utilizing Statistical Dialogue Act Processing In VERBMOBIL,1,6.687274223358569,9,1995,2003
Learning Sentential Paraphrases from Bilingual Parallel Corpora for Text-to-Text Generation,1,4.4225559690237795,2,2012,
Generating Contextually Appropriate Intonation,1,4.116031214603927,7,1994,2000
Adaptive Chinese Word Segmentation,1,4.3248639360904715,5,2005,2009
Resolving Bridging References In Unrestricted Text,1,4.365458095531776,10,1998,2007
Bayesian Word Sense Induction,1,8.5988710896751,4,2010,
Multi-Document Summarization Of Evaluative Text,1,3.9847601829116486,4,2008,2011
Learning Features That Predict Cue Usage,1,5.745700718019949,8,1998,2005
An Experimental Parser For Systemic Grammars,1,5.937068482773579,4,1989,1992
A Boosting Algorithm For Classification Of Semi-Structured Text,1,7.762475825585996,5,2005,2009
Tracking Point Of View In Narrative,1,4.277512760701441,6,1999,2004
An Efficient Easily Adaptable System For Interpreting Natural Language Queries,1,4.6263669851096525,7,1982,1988
Task-oriented Evaluation of Syntactic Parsers and Their Representations,1,3.8665694844040095,3,2009,2011
Discriminative Reranking For Natural Language Parsing,1,7.056342942023189,3,2006,2008
Tagging For Learning: Collecting Thematic Relations From Corpus,1,9.672126341231476,4,1991,1994
Constituent Boundary Parsing For Example-Based Machine Translation,1,5.994928814401517,8,1996,2003
Using Bilingual Knowledge and Ensemble Techniques for Unsupervised Chinese Sentiment Analysis,1,3.9787412877825705,3,2009,2011
Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,1,13.8632511241094,3,2011,
Clustering Verbs Semantically According To Their Alternation Behaviour,1,9.205238339324271,6,2001,2006
Findings of the 2011 Workshop on Statistical Machine Translation,1,20.988704720610823,2,2012,
Speech Acts And Rationality,1,8.436283259601346,11,1986,1996
An Experiment On Learning Appropriate Selectional Restrictions From A Parsed Corpus,1,4.817825467319723,6,1995,2000
Dependency Grammar Induction via Bitext Projection Constraints,1,4.626145080979541,4,2010,
D-Theory: Talking About Talking About Trees,1,12.588626869009452,19,1983,2001
Hidden-Variable Models For Discriminative Reranking,1,6.291232845971986,4,2006,2009
Phrasal Cohesion And Statistical Machine Translation,1,10.610552631402465,5,2003,2007
TESLA: Translation Evaluation of Sentences with Linear-Programming-Based Analysis,1,4.124467724219755,3,2011,
A Practical Part-Of-Speech Tagger,1,37.28358935479582,10,1992,2001
A Composite Kernel To Extract Relations Between Entities With Both Flat And Structured Features,1,6.711283289245504,4,2007,2010
Perplexity Minimization for Translation Model Domain Adaptation in Statistical Machine Translation,1,4.2349258722192396,1,2013,
Machine Translation by Triangulation: Making Effective Use of Multi-Parallel Corpora,1,4.04075321004764,2,2008,2009
Automatic Grammar Induction And Parsing Free Text: A Transformation-Based Approach,1,14.049445466107205,8,1994,2001
Less Is More: Using A Single Knowledge Representation In Dialogue Systems,1,4.702279685809695,3,2003,2005
HMM-Based Word Alignment In Statistical Translation,1,5.883915338837387,3,2003,2005
Head Automata And Bilingual Tiling: Translation With Minimal Representations (Invited Talk),1,6.271301600399747,4,1997,2000
Annotating The Propositions In The Penn Chinese Treebank,1,4.117047610710042,2,2004,2005
Fluency Adequacy or HTER? Exploring Different Human Judgments with a Tunable MT Metric,1,8.56109533706141,4,2010,
Summarization with a Joint Model for Sentence Extraction and Compression,1,4.626145080979548,4,2010,
University Of Massachusetts: MUC-4 Test Results And Analysis,1,5.1428563341719125,11,1993,2003
A Simple Hybrid Aligner for Generating Lexical Correspondences in Parallel Texts,1,4.94822253939669,5,2001,2005
Better K-Best Parsing,1,11.66696103826084,5,2006,2010
Subgrammars Rule Classes And Control In The Rosetta Translation System,1,4.688313120954254,4,1988,1991
Hierarchical Directed Acyclic Graph Kernel: Methods For Structured Natural Language Data,1,5.626874107021925,5,2003,2007
Syntax-to-Morphology Mapping in Factored Phrase-Based Statistical Machine Translation from English to Turkish,1,3.908642064932806,3,2011,
Inside-Outside Reestimation From Partially Bracketed Corpora,1,19.229550901301753,9,1993,2001
Tuning as Ranking,1,18.774910225246913,2,2012,
Automatically Constructing a Corpus of Sentential Paraphrases,1,4.2315839944911575,4,2010,
A Comparison Of Rule-Invocation Strategies In Context-Free Chart Parsing,1,5.012285933360895,7,1988,1994
Structure Sharing In Lexicalized Tree-Adjoining Grammars,1,5.653083089685836,7,1992,1998
Verb Semantics And Lexical Selection,1,5.132888027941801,2,2012,
Management And Evaluation Of Interactive Dialog In The Air Travel Domain,1,3.9406958618987287,4,1990,1993
Discriminating Gender on Twitter,1,4.864879527799767,2,2012,
Aligning Needles in a Haystack: Paraphrase Acquisition Across the Web,1,3.976269946287642,4,2010,
Analysis Of Japanese Compound Nouns Using Collocational Information,1,3.9849131465581236,10,1995,2004
A Distributional Analysis Of A Lexicalized Statistical Parsing Model,1,4.049617256003188,4,2005,2008
Joint Learning Improves Semantic Role Labeling,1,14.553295248180088,5,2005,2009
A Tale of Two Parsers: Investigating and Combining Graph-based and Transition-based Dependency Parsing,1,11.533303911796004,3,2011,
Information Fusion In The Context Of Multi-Document Summarization,1,8.772112546396528,7,1999,2005
Evaluating The Accuracy Of An Unlexicalized Statistical Parser On The PARC DepBank,1,4.866034031316443,4,2007,2010
