title,indegree
Building A Large Annotated Corpus Of English: The Penn Treebank,928
Bleu: A Method For Automatic Evaluation Of Machine Translation,891
The Mathematics Of Statistical Machine Translation: Parameter Estimation,729
Minimum Error Rate Training In Statistical Machine Translation,667
A Systematic Comparison Of Various Statistical Alignment Models,656
Moses: Open Source Toolkit for Statistical Machine Translation,591
Statistical Phrase-Based Translation,556
Accurate Unlexicalized Parsing,394
A Maximum Entropy Approach To Natural Language Processing,376
A Maximum-Entropy-Inspired Parser,371
Attention Intentions And The Structure Of Discourse,354
Automatic Retrieval and Clustering of Similar Words,305
Coarse-To-Fine N-Best Parsing And MaxEnt Discriminative Reranking,290
A Hierarchical Phrase-Based Model For Statistical Machine Translation,283
Automatic Labeling Of Semantic Roles,280
Discriminative Training Methods For Hidden Markov Models: Theory And Experiments With Perceptron Algorithms,280
Stochastic Inversion Transduction Grammars And Bilingual Parsing Of Parallel Corpora,268
A Maximum Entropy Model For Part-Of-Speech Tagging,267
Three Generative Lexicalized Models For Statistical Parsing,261
The Berkeley FrameNet Project,259
Thumbs Up? Sentiment Classification Using Machine Learning Techniques,254
Automatic Acquisition Of Hyponyms From Large Text Corpora,248
Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,246
The Proposition Bank: An Annotated Corpus Of Semantic Roles,244
Improved Statistical Alignment Models,242
Class-Based N-Gram Models Of Natural Language,242
Hierarchical Phrase-Based Translation,241
Accurate Methods For The Statistics Of Surprise And Coincidence,240
A Stochastic Parts Program And Noun Phrase Parser For Unrestricted Text,236
Word Association Norms Mutual Information And Lexicography,225
Transformation-Based-Error-Driven Learning And Natural Language Processing: A Case Study In Part-Of-Speech Tagging,219
Discriminative Training And Maximum Entropy Models For Statistical Machine Translation,204
The Alignment Template Approach To Statistical Machine Translation,203
Statistical Significance Tests For Machine Translation Evaluation,203
Thumbs Up Or Thumbs Down? Semantic Orientation Applied To Unsupervised Classification Of Reviews,203
Assessing Agreement On Classification Tasks: The Kappa Statistic,200
CoNLL-X Shared Task On Multilingual Dependency Parsing,197
A Statistical Approach To Machine Translation,196
Online Large-Margin Training Of Dependency Parsers,194
TnT - A Statistical Part-Of-Speech Tagger,191
Learning Accurate Compact And Interpretable Tree Annotation,189
HMM-Based Word Alignment In Statistical Translation,181
A Syntax-Based Statistical Translation Model,176
Recognizing Contextual Polarity In Phrase-Level Sentiment Analysis,175
Centering: A Framework For Modeling The Local Coherence Of Discourse,173
Feature-Rich Part-Of-Speech Tagging With A Cyclic Dependency Network,171
Distributional Clustering Of English Words,167
Non-Projective Dependency Parsing Using Spanning Tree Algorithms,166
Incorporating Non-Local Information Into Information Extraction Systems By Gibbs Sampling,166
