Abarnel, Henry Don Isaac
Abbamonte, Peter M.
Abella, Isaac D.
Abernathy, Cammy
Abernathy, Frederick H.
Abolins, Maris Arvids
Abraham, David W.
Abraham, Neal Broadus
Abraham-Shrauner, Barbara
Abrikosov, Alexei A.
Abstreiter, Gerhard
Ackerson, Bruce
Acosta, Darin E.
Adams, Fred C.
Adams, Nigel Graham
Adams, Nikolaus
Adams, Philip Wayne
Adams, Walter Wade
Ade, Harald
Adelman, Steven A.
Adkins, Gregory Scott
Adolphsen, Chris Edward
Adrian, Ronald J.
Aeppli, Gabriel
Afanasjev, Anatoli
Affleck, Ian Keith
Afnan, Irag Ruhi
Agarwal, Ramesh K.
Aglitskiy, Yefim
Agranovich, Vladimir M.
Aharoni, Herzl
Aharony, Amnon
Ahearne, John F.
Ahluwalia, Harjit Singh
Ahmed, Musahid
Ahn, Charles
Ahn, Doyeol
Ahrenkiel, Richard K.
Ailion, David Charles
Aizenberg, Joanna
Akerib, Daniel
Akerlof, Carl W.
Aklonis, John J.
Aksyuk, Vladimir
Akylas, Triantaphyllos
Alam, Muhammad
Alamo, Rufina
Alarcon, Ricardo
Alascio, Blas Rafael
Alberg, Mary
Albers, Robert C.
Albert, Reka Z.
Albright, Carl
Albright, David
Albritton, Daniel
Albritton, James R.
Alda, Alan
Aleiner, Igor
Alers, George Armand
Alessi, James G.
Alexander, Gideon
Alexander, James Paul
Alexander, John M.
Alexander, Millard H
Alexander Jr., Chester
Alexandrov, Alexandre
Alford, William Lumpkin
Alfredsson, P. Henrik
Alhassid, Yoram
Alivisatos, A. Paul
Allamandola, Louis John
Allegrini, Maria
Allen, Barry J.
Allen, Bruce
Allen, James Ward
Allen, John Edward
Allen, Lew
Allen, Matthew Arnold
Allen, Phillip B.
Allen, Silas James, Jr.
Allen, Steven Lynn
Allenspach, Rolf
Alloul, Henri
Alonso, Marcelo
Alpay, Pamir
Alston-Garnjost, Margaret
Altarelli, Massimo
Altfeder, Igor
Altick, Philip L.
Altman, Michael
Altshuler, Boris L.
Alvarez, Orlando
Amar, Jacques
Ambrosch-Draxl, Claudia
Amendt, Peter Andrew
Amer, Nabil M.
Amidei, Dan
Amis, Eric J.
Amusia, Miron Ya
Anandan, Jeeva Satchith
Anastasiadis, Spiros H
Andelman, David
Anderegg, Francois
Anders, Andre
Andersen, Hans Christian
Andersen, Nils Overgaard
Andersen, Ole K.
Anderson, Brian P.
Anderson, Charles E., Jr.
Anderson, Dana Zachery
Anderson, David Vincent
Anderson, Hans Christian
Anderson, James Bernhard
Anderson, Oscar A.
Anderson, Richard J.
Anderson, Richard Louis
Anderson, Scott Law
Anderson, William
Ando, Tsuneya
Andrei, Eva Y
Andrei, Natan
Andreoni, Wanda
Andres, Klaus
Andrew, Edward Raymond
Andrews, W. Lester S.
Anholt, Robert E.
Anisimov, Mikhail Alexeevich
Anna, Shelley L.
Ansermet, Jean-Philippe
Antiochos, Spiro
Antonsen, Thomas M.
Appel, Jeffrey Alan
Appelquist, Thomas William
Appenzeller, Joerg
Aprahamian, Ani
Aprile, Elena
Apruzese, John Patrick
Archer, Lynden
Ard, William B.
Ardalan, Farhad
Aref, Hassan
Arenhoevel, Hartmuth
Arenholz, Elke
Arghavani, Reza
Argon, Ali S.
Argyriou, Dimitri
Arif, Muhammad
